,driver_standings)_id,race_id,driver_id,points,position,position_text,wins
1075,13180,69,17,7.0,14,14,0
1076,13179,69,31,26.0,8,8,0
1077,13178,69,18,50.0,6,6,1
1078,13177,69,8,61.0,5,5,0
1079,13176,69,30,116.0,2,2,7
1080,13175,69,4,126.0,1,1,7
1081,13228,70,29,0.0,26,26,0
1082,13227,70,38,0.0,24,24,0
1083,13226,70,9,6.0,16,16,0
1084,13225,70,37,19.0,11,11,0
1085,13224,70,36,0.0,27,27,0
1086,13223,70,34,0.0,25,25,0
1087,13222,70,27,0.0,22,22,0
1088,13221,70,35,7.0,15,15,0
1089,13220,70,21,72.0,4,4,1
1090,13219,70,11,0.0,23,23,0
1091,13218,70,33,0.0,21,21,0
1092,13217,70,15,15.0,12,12,0
1093,13216,70,22,30.0,7,7,0
1094,13215,70,23,20.0,10,10,0
1095,13214,70,26,0.0,20,20,0
1096,13213,70,2,23.0,9,9,0
1097,13212,70,24,1.0,19,19,0
1098,13211,70,14,14.0,13,13,0
1099,13210,70,13,80.0,3,3,2
1100,13209,70,32,2.0,18,18,0
1101,13208,70,3,4.0,17,17,0
1102,13207,70,17,7.0,14,14,0
1103,13206,70,31,26.0,8,8,0
1104,13205,70,18,56.0,6,6,1
1105,13204,70,8,65.0,5,5,0
1106,13203,70,30,121.0,2,2,7
1107,13202,70,4,134.0,1,1,7
1108,1196,71,21,10.0,1,1,1
1109,1197,71,22,8.0,2,2,0
1110,1198,71,4,6.0,3,3,0
1111,1199,71,14,5.0,4,4,0
1112,1200,71,17,4.0,5,5,0
1113,1201,71,31,3.0,6,6,0
1114,1202,71,32,2.0,7,7,0
1115,1203,71,8,1.0,8,8,0
1116,1204,71,15,0.0,9,9,0
1117,1205,71,13,0.0,10,10,0
1118,1206,71,23,0.0,11,11,0
1119,1207,71,35,0.0,12,12,0
1120,1208,71,39,0.0,13,13,0
1121,1209,71,33,0.0,14,14,0
1122,1210,71,40,0.0,15,15,0
1123,1211,72,21,10.0,2,2,1
1124,1212,72,22,8.0,4,4,0
1125,1213,72,4,16.0,1,1,1
1126,1214,72,14,8.0,5,5,0
1127,1215,72,17,4.0,9,9,0
1128,1216,72,31,8.0,6,6,0
1129,1217,72,32,3.0,10,10,0
1130,1218,72,8,1.0,12,12,0
1131,1219,72,15,8.0,3,3,0
1132,1220,72,13,0.0,13,13,0
1133,1221,72,23,4.0,8,8,0
